Popular Tag,Friend Occurrences,All Occurrences,Percentage
CRPG,50,878,0.05694760820045558
Bullet Time,35,618,0.05663430420711974
Job Simulator,3,53,0.05660377358490566
Mouse only,30,537,0.055865921787709494
Female Protagonist,348,6252,0.05566218809980806
Cyberpunk,100,1801,0.0555247084952804
Singleplayer,2280,41124,0.05544207761890867
Racing,166,2996,0.05540720961281709
Tower Defense,90,1627,0.05531653349723417
Point & Click,244,4427,0.05511633160153603
Metroidvania,77,1410,0.05460992907801419
Dragons,34,630,0.05396825396825397
Looter Shooter,26,482,0.05394190871369295
Walking Simulator,132,2450,0.053877551020408164
Political Sim,19,358,0.05307262569832402
Class-Based,33,622,0.05305466237942122
Minigames,17,321,0.0529595015576324
Swordplay,38,719,0.05285118219749652
Adventure,1620,30757,0.05267093669733719
Shop Keeper,1,19,0.05263157894736842
Dark Fantasy,141,2693,0.052357965094689936
Dark Comedy,39,748,0.05213903743315508
Real Time Tactics,77,1489,0.051712558764271326
Dystopian,63,1221,0.051597051597051594
Rhythm,47,911,0.05159165751920966
Turn-Based Strategy,152,2948,0.051560379918588875
Dynamic Narration,20,388,0.05154639175257732
Controller,321,6228,0.051541425818882464
Space,206,4004,0.05144855144855145
Satire,23,448,0.05133928571428571
Political,25,488,0.05122950819672131
Alternate History,50,990,0.050505050505050504
Experience,9,179,0.05027932960893855
Vehicular Combat,35,697,0.05021520803443329
Tile-Matching,1,20,0.05
Fantasy,505,10124,0.049881469774792575
Realistic,244,4893,0.049867157163294505
Mars,10,201,0.04975124378109453
Typing,15,302,0.04966887417218543
Time Manipulation,27,547,0.04936014625228519
Simulation,743,15061,0.04933271363123298
Space Sim,42,852,0.04929577464788732
Gaming,3,61,0.04918032786885246
Dark,240,4882,0.04916018025399427
Transportation,16,326,0.049079754601226995
Gun Customization,31,641,0.0483619344773791
Soundtrack,36,749,0.04806408544726302
Resource Management,129,2694,0.04788418708240535
Bikes,7,147,0.047619047619047616
Parody,27,567,0.047619047619047616
Board Game,79,1661,0.047561709813365445
Medical Sim,6,127,0.047244094488188976
Gambling,10,212,0.04716981132075472
Narrative,17,363,0.046831955922865015
Transhumanism,8,171,0.04678362573099415
Spectacle fighter,26,557,0.0466786355475763
Surreal,108,2367,0.045627376425855515
Sailing,11,243,0.04526748971193416
Voxel,27,598,0.0451505016722408
Unforgiving,7,156,0.04487179487179487
Combat Racing,26,582,0.044673539518900345
Platformer,361,8095,0.044595429277331684
FMV,17,382,0.04450261780104712
Hero Shooter,29,653,0.0444104134762634
Tactical RPG,57,1293,0.04408352668213457
Motorbike,7,159,0.0440251572327044
Character Action Game,27,615,0.04390243902439024
Puzzle,590,13448,0.04387269482450922
Mini Golf,5,114,0.043859649122807015
Robots,76,1745,0.04355300859598854
Party-Based RPG,48,1104,0.043478260869565216
Pinball,6,138,0.043478260869565216
Thriller,56,1292,0.043343653250773995
God Game,21,485,0.04329896907216495
Twin Stick Shooter,48,1111,0.043204320432043204
Mystery,209,4849,0.04310167044751495
Martial Arts,18,418,0.0430622009569378
Medieval,134,3135,0.04274322169059011
Flight,63,1480,0.04256756756756757
Spaceships,6,141,0.0425531914893617
Perma Death,67,1576,0.04251269035532995
Roguelike,161,3794,0.042435424354243544
Werewolves,7,165,0.04242424242424243
Supernatural,52,1237,0.04203718674211803
Retro,328,7863,0.04171435838738395
Underwater,18,432,0.041666666666666664
Dungeon Crawler,102,2480,0.04112903225806452
Side Scroller,168,4087,0.04110594568142892
Music-Based Procedural Generation,9,220,0.04090909090909091
Time Attack,11,270,0.040740740740740744
Psychological,55,1351,0.04071058475203553
Science,30,740,0.04054054054054054
Souls-like,46,1135,0.04052863436123348
Physics,199,4915,0.0404883011190234
Automation,27,668,0.040419161676646706
Wrestling,3,75,0.04
GameMaker,6,150,0.04
Farming,6,151,0.039735099337748346
Farming Sim,27,682,0.039589442815249266
Roguelite,140,3538,0.0395703787450537
JRPG,82,2074,0.03953712632594021
Mining,18,456,0.039473684210526314
Card Game,70,1781,0.039303761931499155
Wargame,50,1273,0.03927729772191673
Choices Matter,196,4993,0.039254956939715605
Demons,56,1448,0.03867403314917127
Dog,17,441,0.03854875283446712
Procedural Generation,124,3256,0.038083538083538086
Pool,3,79,0.0379746835443038
Lore-Rich,50,1318,0.03793626707132018
Exploration,419,11172,0.037504475474400285
Family Friendly,288,7685,0.037475601821730646
Word Game,17,456,0.03728070175438596
Conspiracy,19,512,0.037109375
Documentary,1,27,0.037037037037037035
Football (Soccer),9,243,0.037037037037037035
America,22,603,0.03648424543946932
Indie,1544,42593,0.03625008804263612
Animation & Modeling,4,111,0.036036036036036036
