Popular Tag,Occurrence Count
Building,3724
Boxing,175
Bowling,53
Boss Rush,47
Board Game,1661
Blood,475
Birds,14
Bikes,147
Benchmark,9
Beautiful,651
Battle Royale,605
Basketball,124
Based On A Novel,77
Baseball,74
Base Building,2360
BMX,42
Automobile Sim,1020
Automation,668
Auto Battler,471
Audio Production,57
Atmospheric,14385
Asynchronous Multiplayer,297
Asymmetric VR,135
Assassin,331
Artificial Intelligence,1274
Arena Shooter,1648
Archery,278
Arcade,9818
Anime,6277
Animation & Modeling,111
America,603
Ambient,85
Alternate History,990
Aliens,1737
Agriculture,584
Adventure,30757
Addictive,398
Action-Adventure,8276
Action,33695
Action Roguelike,2744
Action RTS,394
Action RPG,3697
Abstract,1875
ATV,41
8-bit Music,44
6DOF,648
4X,421
4 Player Local,1437
3D,14846
3D Vision,570
3D Platformer,3184
3D Fighter,778
360 Video,78
2D,22105
2D Platformer,5218
2D Fighter,1072
2.5D,2020
1980s,1916
"Shoot 'Em Up",3128
"Beat 'em up",1359
"1990's",2479
,175
